name,model
"Intel 10th Gen Comet Lake Core i9-10900KF Processor 20M Cache, up to 5.30 GHz",i9-1090
"Intel Core i7-12700K Open Box OEM Processor (25M Cache, up to 5.00 GHz)",i7-1270
Intel Cascade Lake-X Core i9-10980XE Extreme Edition Processor,i9-1098
[RePacked] Intel Core i9-9900K LGA1151 Unlocked Desktop Processor 8 Cores up to 5GHz 16MB Cache,i9-9900K
"Intel 10th Gen Comet Lake Core i7-10700T Processor 16M Cache, up to 4.40 GHz",i7-1070
Intel Core i9 9820X X-Series 10 Core Processor,9820
Intel Core i3-7100 7100 Kaby Lake Desktop Processor 3M Cache 3.90 GHz,i3-7100
9th Gen Intel® Core™ i3-9100  Desktop Processor 4 Cores up to 4.2GHz LGA 1151 (Intel® 300 Series Chipset) 65W BX80684I39100,i3-9100
Intel Core I7-4930K Cpu,I7-4930K
Intel core i5 9500 lga1151 desktop processor 6 cores up to 4 40ghz 9mb cache,9500
Intel Core I9-9940X X-series 3.30 GHz Processor,I9-9940
Intel Xeon E5-2650 V4 2.20 GHz Processor,E5-2650
Intel Core i5 7400 Processor,7400
Intel Core i5-12400F 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 Desktop Processor BX8071512400F,i5-1240
"Intel 10th Gen Comet Lake Core i7-10700F Processor 16M Cache, up to 4.80 GHz",i7-1070
"INTEL CORE I5-10500 10TH GENERATION PROCESSOR (12M CACHE, UP TO 4.50 GHZ)",I5-1050
10th Gen Intel® Core™ i3-10105F Desktop Processor 4 Cores up to 4.4GHz Without Processor Graphics LGA 1200 (Intel® 400 Series Chipset) 65W,i3-1010
"Intel 10th Gen Comet Lake Core i9-10900 Processor 20M Cache, up to 5.20 GHz",i9-1090
"Intel Core i3-10100F 10th Generation Processor (6M Cache, up to 4.30 GHz)",i3-1010
6th Gen Intel® Core™ i3-6100  Desktop Processor 2 Core up to 3.7GHz LGA1151 (Intel® 200 Series chipset) 51W BX80662I36100,i3-6100
"Intel 10th Gen Comet Lake Core i5-10600K Processor 12M Cache, up to 4.80 GHz",i5-1060
"Intel Core i9-10850K 10th Generation Marvel's Avengers Collector's Edition Processor (20M Cache, up to 5.20 GHz)",i9-1085
Intel Xeon E5-2620 V4 2.10 GHz Processor,E5-2620
Intel Xeon E5-2630 V4 2.20Ghz Processor,E5-2630
INTEL CORE I7 11700F 11TH GEN DESKTOP PROCESSOR WITH 8 CORES AND 16 THREADS,1170
Intel Core i9-12900K 12th Gen Alder Lake Processor,i9-1290
Intel Core i9-12900KF 12th Gen Alder Lake LGA 1700 Processor BX8071512900KF,i9-1290
9th Gen Intel® Core™ i9-9900 Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 (Intel® 300 Series chipset) 65W BX80684I99900,i9-9900
Intel Core i7-12700K 12th Gen Alder Lake Processor,i7-1270
8th Gen Intel® Core™ i5-8400 Desktop Processor 6 Cores up to 4.0GHz Turbo LGA1151 (Intel® 300 Series chipset) 65W BX80684i58400,i5-8400
"Intel 10th Gen Comet Lake Core i5-10600T Processor 12M Cache, up to 4.00 GHz",i5-1060
Intel Core i9-9960X Skylake X 16-Core 3.1 GHz (4.4 GHz Turbo) LGA 2066 Desktop Processor BX80673I99960X,i9-9960
"Intel 10th Gen Comet Lake Core i5-10600KF Processor 12M Cache, up to 4.80 GHz",i5-1060
8th Gen Intel® Core™ i3-8100 Desktop Processor 4 Cores up to 3.6GHz LGA1151 (Intel® 300 Series chipset) 65W BX80684i38100,i3-8100
Intel Cascade Lake-X Core i9-10940X Extreme Edition Processor,i9-1094
Intel Core i7-12700 12th Gen Alder Lake Processor,i7-1270
Intel Pentium Dual Core G4560 Processor,G4560
"Intel Pentium Gold G6400 Processor (4M Cache, 4.00 GHz) BX80701G6400",G6400
10th Gen Intel® Core™ i9-10900K Marvel Desktop Processor Marvel Avengers Special Edition 10 Cores up to 5.3GHz Unlocked LGA1200 (Intel® 400 Series chipset) 95W BX8070110900KA,i9-1090
INTEL CELERON G5900 PROCESSOR,G5900
"Intel 10th Gen Comet Lake Pentium Gold G6500 Processor 4M Cache, up to 4.10 GHz",G6500
9th Gen Intel® Core™ i7-9700 Desktop Processor 8 Cores up to 4.7GHz LGA1151 (Intel® 300 Series chipset) 65W BX80684I79700,i7-9700
10th Gen Intel® Core™ i7-10700  Desktop Processor 8 Cores up to 4.8GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110700,i7-1070
10th Gen Intel® Core™ i9-10900K Desktop Processor 10 Cores up to 5.3GHz Unlocked LGA1200 (Intel® 400 Series chipset) 125W BX8070110900K,i9-1090
Intel Core I3-9350K 9th Generation Processor BX80684I39350K LGA1151 Socket (Quad Core/ 4.0 GHz/ 4.6 GHz Turbo/ 8MB Cache/ Intel UHD Graphics 630),I3-9350K
IntelÂ® PentiumÂ® Gold G6405 Desktop Processor 2 Core up to 4.1 GHz LGA1200 (IntelÂ® 400 Series chipset) 58W BX80701G6405,G6405
"INTEL PENTIUM GOLD G5400 PROCESSOR (4M Cache, 3.70 GHz)",G5400
Intel core i5 9500f lga1151 desktop processor 6 cores up to 4 40ghz 9mb cache,9500f
Intel Core i5-11500 11th Generation Rocket Lake Processor,i5-1150
Intel Core i5-12600K 12th Gen Alder Lake Processor,i5-1260
10th Gen Intel® Core™ i7-10700K  Desktop Processor 8 Cores up to 5.1GHz Unlocked LGA 1200 (Intel® 400 Series Chipset) 125W BX8070110700K,i7-1070
Intel Cascade Lake-X Core i9-10920X Extreme Edition Processor,i9-1092
INTEL CORE I5-12600KF UNLOCKED DESKTOP PROCESSOR WITHOUT GRAPHICS (BX8071512600KF),I5-1260
10th Gen Intel Core i9-10850K Open Box OEM Processor 10 Cores up to 5.2 GHz Unlocked LGA 1200 (Intel 400 Series Chipset) 95W BX8070110850K,i9-1085
"Intel 10th Gen Comet Lake Core i3-10300 Processor 8M Cache, up to 4.40 GHz",i3-1030
9th Gen Intel® Core™ i3-9350KF Desktop Processor 4 Cores up to 4.6GHz Unlocked Without Processor Graphics LGA 1151 (Intel® 300 Series Chipset) 91W BX80684I39350KF,i3-9350KF
"10th Gen Intel® Core™ i3-10100 Desktop Processor 6M Cache, 4 Cores up to 4.3GHz LGA 1200 (Intel® 400 Series Chipset) 65W",i3-1010
Intel Xeon E5-2640 V4 2.40 GHz Processor,E5-2640
Intel Xeon E5-2689 V4 3.10 GHz Processor,E5-2689
