Name,Launch Date,Number of Cores,Number of Threads,Base clock,Turbo clock,Cache,TDP (W)
Core i9-10900,2020.0,10,20.0,2.8,5.2,65.0,20.0
Celeron G5900,2020.0,2,,3.4,,2.0,
Pentium Gold G6500,2020.0,2,,4.1,,4.0,
Core i7-9700,2019.0,8,8.0,3.0,4.7,65.0,12.0
Core i7-10700,2020.0,8,16.0,2.9,4.8,65.0,16.0
Core i9-10900,2020.0,10,20.0,2.8,5.2,65.0,20.0
Core i3-9350K,2019.0,4,4.0,4.0,4.6,91.0,8.0
Pentium Gold G6405,2021.0,2,,4.1,,4.0,
Pentium Gold G5400,2018.0,2,,3.7,,4.0,
Core i5-9500F,2019.0,6,6.0,3.0,4.4,65.0,9.0
Core i5-11500,2021.0,6,12.0,2.7,4.6,65.0,12.0
Core i5-12600K,2021.0,10,16.0,3.7,4.9,125.0,20.0
Core i7-10700,2020.0,8,16.0,2.9,4.8,65.0,16.0
Core i9-10920X X Series,2019.0,12,24.0,3.5,4.6,165.0,19.25
Core i5-12600K,2021.0,10,16.0,3.7,4.9,125.0,20.0
Core i9-10850K,2020.0,10,20.0,3.6,5.2,125.0,20.0
Core i3-10305,2021.0,4,8.0,3.8,4.5,65.0,8.0
Core i3-9350KF,2019.0,4,4.0,4.0,4.6,91.0,8.0
Core i3-10100Y,2021.0,2,4.0,1.3,3.9,5.0,4.0
Xeon E5-2640 v4,2016.0,10,,2.4,3.4,25.0,
