ID,Category,Name,Details,URL
111,processor,Intel Core i9-11900F 11th Generation Rocket Lake Processor,Intel Core i9-11900F 11th Generation Rocket Lake Processor @ i9-11900F,pcpricetracker.in/gen/products/ff7c21788183982a965d77c33b0e5e1f
112,processor,Intel Core i9-11900K 11th Generation Rocket Lake Processor,Intel Core i9-11900K 11th Generation Rocket Lake Processor @ i9-11900K,pcpricetracker.in/gen/products/e47a10e3c3f59aa1caab8bd9e2adf299
113,processor,Intel Core i9-11900KF 11th Generation Rocket Lake Processor,Intel Core i9-11900KF 11th Generation Rocket Lake Processor @ i9-11900KF,pcpricetracker.in/gen/products/178cdd13ff7b150c2e74f6121b9f4303
114,processor,Intel Core i9-11900T 11th Generation Rocket Lake Processor,Intel Core i9-11900T 11th Generation Rocket Lake Processor @ i9-11900T,pcpricetracker.in/gen/products/a9d709dffa5cb2dc40ca4b04a26c963f
115,processor,"Intel Core i5-11600K Processor (12M Cache, up to 4.90 GHz)","Intel Core i5-11600K Processor (12M Cache, up to 4.90 GHz) @ i5-11600K",pcpricetracker.in/gen/products/7f3bc273c457d775b066f3c141f2568c
116,processor,"Intel Core i7-11700K Processor (16M Cache, up to 5.00 GHz)","Intel Core i7-11700K Processor (16M Cache, up to 5.00 GHz) @ i7-11700K",pcpricetracker.in/gen/products/5161aca98609ed01705a74a9b6290813
117,processor,Intel Core i5-11500 11th Generation Rocket Lake Processor,Intel Core i5-11500 11th Generation Rocket Lake Processor @ i5-11500,pcpricetracker.in/gen/products/1a8d3a8f858cf3a8a9acfca4764391f6
118,processor,Intel Core i7-11700 11th Generation Rocket Lake Processor,Intel Core i7-11700 11th Generation Rocket Lake Processor @ i7-11700,pcpricetracker.in/gen/products/0d756ef8ebf93b12dda31551e34735b9
119,processor,10th Gen Intel® Core™ i3-10105F Desktop Processor 4 Cores up to 4.4GHz Without Processor Graphics LGA 1200 (Intel® 400 Series Chipset) 65W,10th Gen Intel® Core™ i3-10105F Desktop Processor 4 Cores up to 4.4GHz Without Processor Graphics LGA 1200 (Intel® 400 Series Chipset) 65W @ Gen,pcpricetracker.in/gen/products/f6592a65534eb300bd89d032346c77c9
120,processor,Intel Core i9-9920X X-series 3.50 GHz Processor,Intel Core i9-9920X X-series 3.50 GHz Processor @ ,pcpricetracker.in/gen/products/baf357e4fa8d6054c28871a77da3abff
121,processor,Intel Core I9-9940X X-series 3.30 GHz Processor,Intel Core I9-9940X X-series 3.30 GHz Processor @ ,pcpricetracker.in/gen/products/ac05a38950f5d2f10465109b45569a94
122,processor,Intel Xeon E5-2620 V4 2.10 GHz Processor,Intel Xeon E5-2620 V4 2.10 GHz Processor @ ,pcpricetracker.in/gen/products/04019c6a158bdb0e30e93d08a56a7cd8
123,processor,Intel Xeon E5-2630 V4 2.20Ghz Processor,Intel Xeon E5-2630 V4 2.20Ghz Processor @ ,pcpricetracker.in/gen/products/17a2f3c6990425539a2518b74ff1f15c
124,processor,Intel Xeon E5-2640 V4 2.40 GHz Processor,Intel Xeon E5-2640 V4 2.40 GHz Processor @ ,pcpricetracker.in/gen/products/8b51023c9efb85ca35882a4e2181667c
125,processor,Intel Xeon E5-2650 V4 2.20 GHz Processor,Intel Xeon E5-2650 V4 2.20 GHz Processor @ ,pcpricetracker.in/gen/products/b523a917f0b86fc99964d31d511a17c9
126,processor,Intel Xeon E5-2689 V4 3.10 GHz Processor,Intel Xeon E5-2689 V4 3.10 GHz Processor @ ,pcpricetracker.in/gen/products/745664af9f19866526026d32cccd811b
127,processor,[RePacked] Intel Core i5-9400F LGA1151 Desktop Processor 6 Cores up to 4.10GHz 9MB Cache,[RePacked] Intel Core i5-9400F LGA1151 Desktop Processor 6 Cores up to 4.10GHz 9MB Cache,pcpricetracker.in/gen/products/145e3d034791f2161bfe90684370c628
128,processor,AMD RYZEN 9 5900X & GIGABYTE X570 AORUS ELITE WIFI COMBO,AMD RYZEN 9 5900X & GIGABYTE X570 AORUS ELITE WIFI COMBO @ Combo2,pcpricetracker.in/gen/products/cb7e123a42b2e66bca74658dc308d7c7
129,processor,AMD RYZEN 9 5900X & MSI X570 TOMAHAWK WIFI COMBO,AMD RYZEN 9 5900X & MSI X570 TOMAHAWK WIFI COMBO @ Combo3,pcpricetracker.in/gen/products/beb6c3a0da9df17fbc3bdd17b07cd140
